Binomial,tax_id,Specimen,OCL,CL,CaraWidth,CaraHeight,AreoWidth,AreoLength,RostWidth,RostLength,ChelaLength,ChelaWidth,MesialMar,DactLength,ChelaDepth,AbdoLength,AbdoWidth,Sex,Reference,Data_Type,Mean_of_N_individuals,Types,Heterochely
Astacoides betsileoensis,2188,2,66.6,77.5,46,35,8.5,27.5,10.9,10.9,68.6,25.4,21.7,37.4,,,34.1,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides betsileoensis,2188,3,52.6,58.5,,,,,,,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides betsileoensis,2188,4,30.1,35.7,,,,,,,,,,,,,15.7,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides caldwelli,2187,5,52.8,58.4,,,,,,,,,,,,,25,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides caldwelli,2187,6,36.3,40.9,24.3,18.5,4.4,15.9,5.6,4.6,63.2,27.1,21.8,52.2,,,17.5,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides caldwelli,2187,7,52.2,57.1,,,,,,,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides caldwelli,2187,3422,40.5,46,28.2,20.2,5.2,16.5,5.6,6.4,38.9,17.5,12.7,21.3,10.2,,,Female,Paris MHN AS 219,Museum,,NA,NA
Astacoides caldwelli,2187,3421,40.4,45.9,28.4,20,5.6,16.8,5.5,5.8,40,18.2,12.7,22.8,11.1,56.8,26.9,Male,Paris MHN AS 219,Museum,,NA,NA
Astacoides caldwelli,2187,3423,69.6,77,46.4,34.9,6.7,30.2,9.5,9.5,77.6,30.8,20.3,51.6,,76.4,41.4,Male,Paris MHN AS 222,Museum,,NA,NA
Astacoides caldwelli,2187,3424,48.5,54.5,33.6,22.8,5.7,20.7,5.9,6.8,45.7,18.2,12.6,27.1,10.8,61.6,32.4,Female,Paris MHN AS 185,Museum,,NA,NA
Astacoides caldwelli,2187,3426,35.6,39.8,22.9,17.4,4.2,15.3,5,5.3,33.7,14.5,10.4,18.8,8.7,46.2,22.2,Male,Paris MHN AS 185,Museum,,NA,NA
Astacoides caldwelli,2187,3425,32.6,36.8,21.5,16.5,4,13.8,4.7,4.7,31.4,13.2,10.2,17.6,7.6,43.8,21.2,Female,Paris MHN AS 185,Museum,,NA,NA
Astacoides crosnieri,2184,8,44.4,48.7,27.7,22.4,4.7,19.1,6.4,4.3,66,37.6,24,38.3,,,14.6,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides crosnieri,2184,9,39.7,43.7,,,,,,,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides crosnieri,2184,10,42.1,45.8,,,,,,,,,,,,,,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides crosnieri,2184,3427,39.4,44.6,22.7,17.8,3.4,17.7,4.3,4.2,28.4,15.8,9.7,16.9,9.9,49.4,20.4,Female,Paris MHN AS 329 Paratype,Museum,,NA,NA
Astacoides crosnieri,2184,3428,41.8,45.3,24.9,18.3,4.2,18.6,4.8,4.3,32.5,18.7,10.7,20.2,11.5,50.4,21.7,Male,Paris MHN AS 329 Paratype,Museum,,NA,NA
Astacoides crosnieri,2184,3430,45.3,49,27,21.5,3.6,20,4.7,4.4,,19.4,9.1,22.3,11.1,51.4,23.5,Male,Paris MHN AS 329 Paratype,Museum,,NA,NA
Astacoides crosnieri,2184,3429,35.2,38.4,20.9,17.5,2.8,15.4,4,3.9,27.2,14.8,8.8,16.3,9.6,40.6,18.1,Male,Paris MHN AS 329 Paratype,Museum,,NA,NA
Astacoides granulimanus,2186,11,43.5,49,27.8,21.8,7.2,17.9,6.3,4.5,61.9,31,24,36,,,18,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides granulimanus,2186,12,32.7,36.8,,,,,,,,,,,,,13.5,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides granulimanus,2186,13,45,50.7,,,,,,,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides granulimanus,2186,3432,31.6,35.9,17.9,16.4,4,13.8,3.9,4.2,28.6,13.2,10.6,15.6,8.3,42.4,18.8,Male,Paris MHN AS 225 Monod et Petit 1929,Museum,,NA,NA
Astacoides granulimanus,2186,3435,42.5,47.9,26,22.2,6,17.9,5.3,6.1,39,18.9,13.7,21,11.9,57.3,26,Male,Paris MHN AS 225 Monod et Petit 1929,Museum,,NA,NA
Astacoides granulimanus,2186,3433,52.6,52.9,28.8,19.7,6.2,21.1,5.5,5.5,42.1,20.9,12,26.1,11.8,60,31.1,Female,Paris MHN AS 140,Museum,,NA,NA
Astacoides granulimanus,2186,3431,43.2,48.6,25.8,18.8,4.7,19,6,6.7,36.2,18.8,10.8,26.2,10.8,53.2,24.7,Male,Paris MHN AS 140,Museum,,NA,NA
Astacoides hobbsi,153654,14,51.1,55.8,30.8,,6.6,23.3,,4.7,50.2,21,,,,,22.6,Male,\cite{Boyko2005},Table,,NA,NA
Astacoides hobbsi,153654,15,40.4,46.6,26.3,,5.5,18.2,,6.2,37.9,16.5,,,,,20.1,Male,\cite{Boyko2005},Table,,NA,NA
Astacoides hobbsi,153654,16,40.8,47.2,23,,5.6,20.1,,6.4,35.2,15,,,,,18.7,Male,\cite{Boyko2005},Table,,NA,NA
Astacoides hobbsi,153654,3336,49.4,54.3,29.1,,6.3,24.2,,4.9,41.9,16.6,13.9,27.2,,,27.3,Male,\cite{Boyko2005},Table,,NA,NA
Astacoides madagascariensis,2183,17,79.3,87.1,51.4,,,,,7.8,66.4,31.9,,34.9,,105.5,34.5,Male,\cite{Hobbs1987} and \cite{Riek1972},Plate,,NA,NA
Astacoides madagascariensis,2183,18,74.3,80,,,,,,5.7,,,,,,,31.8,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides madagascariensis,2183,19,34.6,38.2,,,,,,3.6,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides madagascariensis,2183,1710,38.5,42.4,23.5,,,,,3.9,30.5,17.5,,21.8,,44.7,19.6,Male,NHM 81.9 1929 Madagascar,Museum,,NA,NA
Astacoides madagascariensis,2183,1711,32.6,36.1,19.4,,,,,3.5,24.9,13.9,,16.9,,40.4,16.4,Female,NHM 81.9 1929 Madagascar,Museum,,NA,NA
Astacoides madagascariensis,2183,1712,29,32.2,16,,,,,3.2,24,13.2,,14.4,,35.9,14.6,Female,NHM 81.9 1929 Madagascar,Museum,,NA,NA
Astacoides madagascariensis,2183,1713,40.1,43.7,23.7,,,,,2.6,34,17.4,,19.6,,45.4,23.5,Male,NHM 81.9 1929 Madagascar,Museum,,NA,NA
Astacoides madagascariensis,2183,1714,43.6,47.8,25.7,,,,,4.2,38.9,19,,21.8,,55.7,25.5,Male,NHM 81.9 1929 Madagascar,Museum,,NA,NA
Astacoides petiti,2185,20,45,49.1,,,,,,,,,,,,,16.7,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides petiti,2185,21,42,46.1,,,,,,,,,,,,,,Female,\cite{Hobbs1987},Plate,,NA,NA
Astacoides petiti,2185,22,49.7,54,28.8,22,7.5,19.6,7.2,4.3,71.3,33.2,31.3,34.7,,,18.4,Male,\cite{Hobbs1987},Plate,,NA,NA
Astacoides petiti,2185,3437,35.3,39.7,20.5,15.9,6.9,14.8,4.3,5.2,28.9,14.9,9.1,17.9,9.6,45,20.4,Male,Paris MHN AS 209,Museum,,NA,NA
Astacoides petiti,2185,3438,30.1,33.7,17.3,14.2,5.3,12,3.6,3.7,24.7,12.7,9.8,13.6,8.6,39.2,16.5,Female,Paris MHN AS 209,Museum,,NA,NA
Astacoides petiti,2185,3436,24,27,13.7,10.5,4.7,10.2,3,3.7,20.6,10.5,7.8,10.5,6.9,31,13.3,Female,Paris MHN AS 209,Museum,,NA,NA
Astacopsis franklinii,153687,25,50.9,56.8,,,,,,,48.7,21.1,,,,55,25,Male,NHM 1891.6.20.93,Museum,,NA,NA
Astacopsis franklinii,153687,3665,48.1,54.9,,22.7,7.3,17.9,6.9,8.2,40.6,17,15.9,21.2,10.5,,31.3,Female,Museum Victoria J46761,Museum,,NA,NA
Astacopsis franklinii,153687,3666,38.4,44.1,20,19.1,6.4,14.3,5.8,6.7,33.6,15.4,13.9,16.2,9.9,,21.6,Female,Museum Victoria J46760,Museum,,NA,NA
Astacopsis franklinii,153687,3667,36.1,41.8,18.8,16.9,6.6,13.3,5.4,6.6,28.7,12.6,13.3,15.9,8.1,,21.3,Female,Museum Victoria J46760,Museum,,NA,NA
Astacopsis gouldi,2190,26,110.1,128.1,60.3,,,,,,99.9,36.6,,46.5,,110.1,55.2,Male,"Riek, E. F. (1972). The phylogeny of the Parastacidae (Crustacea: Astacoidea), and description of a new genus of Australian freshwater crayfishes. Australian Journal of Zoology, 20(4), 369-389.",Plate,,NA,NA
Astacopsis gouldi,2190,27,93.7,99.5,50.4,45.7,13.4,32.6,15.2,14.5,74.2,29,26.7,39.7,18.8,99.9,52.8,Female,Australian Museum P13031,Museum,,NA,NA
Astacopsis gouldi,2190,3564,72.5,86,39.4,37.7,13.9,25.2,12.6,15.1,59.6,24.9,21.8,31.1,16.4,80.4,40.1,Male,Museum Victoria J46753,Museum,,NA,NA
Astacopsis gouldi,2190,3546,56.7,65.1,,29.3,,19.6,10.1,10.5,50.4,21.1,19.1,26.7,13.9,66.6,33.4,Male,Museum Victoria J46759,Museum,,NA,NA
Astacopsis gouldi,2190,3548,57.1,68.4,31.3,30.2,11,19.8,10.9,11.5,,20.9,17.6,25.8,13.9,66.9,13.9,Female,Museum Victoria J46759,Museum,,NA,NA
Astacopsis gouldi,2190,3549,,,,,,,,,30,9.9,8.7,16.9,7.2,,,Female,Museum Victoria J46759,Museum,,NA,NA
Astacopsis gouldi,2190,3547,,,,,,,,,39.2,15.3,13,21.2,9.7,,,Male,Museum Victoria J46759,Museum,,NA,NA
Astacopsis gouldi,2190,3565,65.5,76.6,,33.9,11.6,24,11.3,11.8,51.3,22,19,26.9,14.4,75.6,36,Male,Museum Victoria J46756,Museum,,NA,NA
Astacopsis gouldi,2190,3566,83.1,97.5,47.3,43.7,13.8,30,15,15.8,71.8,28.2,23.7,39.8,17.8,95.8,46,Male,Museum Victoria J46754,Museum,,NA,NA
Astacus astacus,2191,32,33.6,44.4,23,,,,,,28.5,11.5,,16.7,,39.8,19.5,Female,NHM 1094.10.29.22-30 River Oder,Museum,,NA,NA
Astacus astacus,2191,33,48.6,60.3,32.3,,,,,,56.8,22.6,,31,,56.4,26.6,Male,NHM 1094.10.29.22-30 River Oder,Museum,,NA,NA
Astacus astacus,2191,34,47,58,,,,,,,49,20,,,,52,25,,\cite{Souty-Grosset2006},Plate,,NA,NA
Astacus astacus,2191,3439,49.8,66.9,37.2,29.7,7,21.2,7.7,19,67.5,26.6,23,37.2,16.2,57.5,31.4,Male,Paris MHN BA 320,Museum,,NA,NA
Astacus astacus,2191,3440,40.1,53.7,28.4,22.1,7.4,17.1,7.3,14.2,40,17,13.7,22.2,9.5,53.4,27,Female,Paris MHN BA 320,Museum,,NA,NA
Astacus astacus,2191,3442,34.7,45.6,23.4,20.1,5.8,15.1,6.7,12.3,31.9,12.6,10.1,17.9,6.9,42.1,22.6,Female,Paris MHN AS 321,Museum,,NA,NA
