"","Binomial","Family","Genus","RedList","BodySize","EggNumber","ChelaSize","ChelaShape","HabitatsIUCN","HabitatType","EOO","Temp","TempSeas","Prec","PrecSeas","ElevMin","Consumption","Fragment","Mercury","Pesticide","Sed","Cropland","Livestock","HPD"
"1","Astacoides betsileoensis","PARASTACIDAE","Astacoides","4",85.3,NA,NA,NA,1,1,837.16,191.4680851,2550.276596,1871.595745,73.04255319,513,0.040728571,0.139971422,0.196757146,0.17468571,0.433414287,0.37761429,0.12647143,35.19148936
"2","Astacoides caldwelli","PARASTACIDAE","Astacoides","4",79.1,NA,0.845815051190001,0.422834361284925,1,1,2694.35,181.969697,2533.037879,1652.909091,80.77272727,317,0.11646,0.197559998,0.230180003,0.179733333,0.438000003,0.354420001,0.15818667,73.18939394
"4","Astacoides granulimanus","PARASTACIDAE","Astacoides","1",64.9,400,0.795841209829868,0.496437054631829,4,1,3825.99,194.4308511,2518.388298,1571.420213,80.79255319,275,0,0,0.394600004,0.380800009,0.352299988,0.672399998,0,30.54787234
"8","Astacopsis franklinii","PARASTACIDAE","Astacopsis","1",61,118,0.729344681458573,0.438692311799965,2,1,22505.21,106.6216216,3203.921764,819.4217639,20.60526316,5,0.468862498,0.43045,0.746724997,0.571649998,0.128649998,0.293537498,0.664175004,13.74466572
"9","Astacopsis gouldi","PARASTACIDAE","Astacopsis","4",204,1500,0.74572864321608,0.360417789757412,1,1,10794.98,116.7355623,3024.06231,1117.919453,32.33130699,3,0.432000006,0.346839994,0.590233336,0.41966666,0.149266666,0.268966665,0.442733328,13.38905775
"10","Astacopsis tricornis","PARASTACIDAE","Astacopsis","1",203.4,NA,NA,NA,2,1,23441.56,NA,2774.44497,1945.654963,24.81431465,7,0,0.156228568,0.299857144,0.067157143,0.096185711,0.051142858,0.332049996,1.300944669
"11","Astacus astacus","ASTACIDAE","Astacus","3",104.9,436,0.695444084190041,0.407831032649544,4,1,3719119.46,NA,7692.885282,683.1541679,28.87017012,-38,0.481810726,0.502838241,0.567036091,0.582243158,0.430442506,0.588848271,0.484962086,88.03558577
"12","Astacus leptodactylus","ASTACIDAE","Astacus","1",101.2,890,0.620888799645673,0.354648690540195,5,1,3875370.02,NA,9781.490909,569.7473388,29.54593466,-60,0.490964749,0.516597375,0.618525123,0.55185354,0.373648132,0.613362537,0.458296375,48.19654211
"14","Austropotamobius pallipes","ASTACIDAE","Austropotamobius","4",67.6,150,0.733502538071066,0.456747404844291,5,1,1456943.98,104.1296923,5686.181661,836.1792799,22.06826985,-38,0.571965171,0.491450486,0.561130031,0.749445666,0.622338855,0.694848606,0.66225389,148.0551882
"16","Barbicambarus cornutus","CAMBARIDAE","Barbicambarus","1",68,353,0.851612903225806,0.363636363636364,1,1,40200.07,130.3327681,8509.89699,1175.478169,15.34294192,114,0.469400001,0.94051177,0.804458825,0.862976474,0.763417644,0.766099995,0.608976454,47.0453582
"18","Cambarellus areolatus","CAMBARIDAE","Cambarellus","5",NA,NA,NA,NA,1,2,284.17,192.875,4281.75,393.25,73.125,1437,NA,NA,NA,NA,NA,NA,NA,3
"20","Cambarellus chapalanus","CAMBARIDAE","Cambarellus","2",103.1,NA,NA,NA,4,2,22240.86,195.2596934,2113.661858,913.845807,103.9422904,6,0.549214282,0.747742849,0.819028573,0.852285717,0.456014283,0.7473143,0.444285699,165.7700631
"22","Cambarellus lesliei","CAMBARIDAE","Cambarellus","1",11.7,NA,0.632047477744807,0.267605633802817,3,1,51998.48,181.5542677,6693.413066,1498.469617,19.70530383,1,0.202533333,0.525611132,0.541649999,0.578944453,0.50105555,0.456144445,0.291284215,25.44502986
"23","Cambarellus montezumae","CAMBARIDAE","Cambarellus","1",19.1,120,0.517730496453901,0.246575342465753,4,2,195640.4,179.3673909,2299.27147,818.0365854,96.87323222,2,0.57763684,0.743887499,0.853766669,0.878973686,0.708077196,0.746236841,0.447403494,227.7342693
"24","Cambarellus ninae","CAMBARIDAE","Cambarellus","1",15,400,0.53781512605042,0.34375,2,2,45355.19,211.5143213,6078.764633,830.9983396,37.29970942,2,0.68016667,0.244140001,0.961919999,0.957259997,0.917613328,0.726239997,0.537100017,49.67579909
"25","Cambarellus occidentalis","CAMBARIDAE","Cambarellus","1",NA,NA,NA,NA,3,2,64216.87,193.264389,3033.385042,911.0640197,106.4395199,0,0.252015789,0.384372214,0.87393158,0.775773681,0.693589474,0.519489476,0.130947364,26.95690982
"26","Cambarellus patzcuarensis","CAMBARIDAE","Cambarellus","4",10.5,NA,0.535714285714286,0.2,2,1,296.14,160.25,2085.25,1004.8125,102.25,2039,0.627366662,0.863999983,0.737966657,0.807366649,0.307700008,0.754499992,0.621999979,119.125
"27","Cambarellus prolixus","CAMBARIDAE","Cambarellus","5",17.2,70,0.563380281690141,0.325,1,2,2144.81,185.7378641,2304.805825,808.1262136,104.4563107,1517,0.534500003,0.856700003,0.733900011,0.791299999,0.100699998,0.738200009,0.621999979,102.1262136
"28","Cambarellus puer","CAMBARIDAE","Cambarellus","1",14.4,110,0.669565217391304,0.324675324675325,4,2,551820.52,NA,7457.848854,1297.085439,18.8413975,-4,0.310735046,0.809418091,0.687450936,0.766764017,0.508484112,0.674434112,0.307981484,36.47222765
"30","Cambarellus shufeldtii","CAMBARIDAE","Cambarellus","1",15.9,116,0.557971014492754,0.324675324675325,5,2,1167642.36,NA,7478.937182,1192.065678,23.15152587,-4,0.350311751,0.764629602,0.694208295,0.778965207,0.566273963,0.670569355,0.372509842,37.36755369
"31","Cambarellus texanus","CAMBARIDAE","Cambarellus","1",15,NA,0.551401869158879,0.338983050847458,2,2,53941.11,198.3417068,6594.417068,1039.721266,25.88781831,2,0.656904166,0.639221738,0.902750003,0.909854169,0.78095417,0.70617084,0.42520418,111.1944253
"32","Cambarellus zempoalensis","CAMBARIDAE","Cambarellus","1",16.2,NA,0.760330578512397,0.380434782608696,1,1,297.06,124.6875,1504.8125,1284.375,97.3125,2017,0.813950002,0.863700002,0.698249996,0.719150007,0.691049993,0.67749998,0.621999979,433.375
