taxon_name,taxon_family,taxname_source,updated_taxon_name,notes
Cherax preisii,Parastacidae,AFD,Cherax preissii,"taxon_name_original name misspelled in source, Cherax preissii misspelled as Cherax preisii"
Engaeus hemicerratulus,Parastacidae,AFD,Engaeus hemicirratulus,"taxon_name_original name misspelled in source, Engaeus hemicirratulus misspelled as Engaeus hemicerratulus"
Euastacus australiensis,Parastacidae,AFD,Euastacus australasiensis,"taxon_name_original name misspelled in source, Euastacus australasiensis misspelled as Euastacus australiensis"
Euastacus balanesis,Parastacidae,AFD,Euastacus balanensis,"taxon_name_original name misspelled in source, Euastacus balanensis misspelled as Euastacus balanesis"
Euastacus bidawalis,Parastacidae,AFD,Euastacus bidawalus,"taxon_name_original name misspelled in source, Euastacus bidawalus misspelled as Euastacus bidawalis"
Euastacus wiowuru,Parastacidae,AFD,Euastacus woiwuru,"taxon_name_original name misspelled in source, Euastacus woiwuru misspelled as Euastacus wiowuru"
Euastacus yarreansis,Parastacidae,AFD,Euastacus yarraensis,"taxon_name_original name misspelled in source, Euastacus yarraensis misspelled as Euastacus yarreansis"
Astacoides betsileoensis,Parastacidae,NA,,non-Australian
Astacoides caldwelli,Parastacidae,NA,,non-Australian
Astacoides granulimanus,Parastacidae,NA,,non-Australian
Cherax boesemani,Parastacidae,NA,,non-Australian
Cherax boschmai,Parastacidae,NA,,non-Australian
Cherax buitendijkae,Parastacidae,NA,,non-Australian
Cherax communis,Parastacidae,NA,,non-Australian
Cherax holthuisi,Parastacidae,NA,,non-Australian
Cherax longipes,Parastacidae,NA,,non-Australian
Cherax lorentzi,Parastacidae,NA,,non-Australian
Cherax minor,Parastacidae,NA,,non-Australian
Cherax misolicus,Parastacidae,NA,,non-Australian
Cherax monticola,Parastacidae,NA,,non-Australian
Cherax murido,Parastacidae,NA,,non-Australian
Cherax pallidus,Parastacidae,NA,,non-Australian
Cherax paniaicus,Parastacidae,NA,,non-Australian
Cherax papuanus,Parastacidae,NA,,non-Australian
Cherax peknyi,Parastacidae,NA,,non-Australian
Cherax solus,Parastacidae,NA,,non-Australian
Paranephrops planifrons,Parastacidae,NA,,non-Australian
