species,taxon_name_original,taxname_source,totalinstudy,authority,family,subfamily,size,alltraits,bodylength_mm,flightless,trophicgroup,above_on_below,trophicgroupdetail,food,usual_habitat_adult,usual_habitat_larvae,introduced,Zoharas_MSP,NOTES,Count_2010,Count_2012,Wing_Type,Feeding_Group,pronotum_width,antennae_length,Colour,notes:
Acantholophus crenaticollis,,AFD,7,Macleay,Curculionidae,,,notall,,yes,herbivore,above,herbivore,"under bark for WA species, maybe in grass trees and grass tussocks, http://www.archive.org/stream/proceedingsoflin46linn/proceedingsoflin46linn_djvu.txt",,,,,,,,,,,,,
Acantholophus franklinensis,,AFD,898,Blackburn,Curculionidae,,2,all,19,yes,herbivore,above,herbivore,"under bark for WA species, maybe in grass trees and grass tussocks, http://www.archive.org/stream/proceedingsoflin46linn/proceedingsoflin46linn_djvu.txt",,,,,,,,,,,,,
Acantholophus gravicollis,,AFD,11,Macleay,Curculionidae,,3,all,20,yes,herbivore,above,herbivore,"under bark for WA species, maybe in grass trees and grass tussocks, http://www.archive.org/stream/proceedingsoflin46linn/proceedingsoflin46linn_djvu.txt",,,,109,"large weevil with spikes on head, thorax and abdomes (see MSP 34, 94)",,,absent,,5,7,black,"highly textured, long legs"
Acantholophus tribulus,,AFD,7,Macleay,Curculionidae,,,notall,,yes,herbivore,above,herbivore,"under bark for WA species, maybe in grass trees and grass tussocks, http://www.archive.org/stream/proceedingsoflin46linn/proceedingsoflin46linn_djvu.txt",,,,,,,,,,,,,
Acherres granulatus,,AFD,2,Ferguson,Curculionidae,,2,notall,10,yes,herbivore,,herbivore,,,,,94,large black weevil with equal sized spikes on elytra,,,absent,,2,2,black,fur on body
Adelium lindense,,AFD,52,,Tenebrionidae,Adeliini,2,all,13,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,,,68,"irridescent brown elytra, rounded thorax plate (compare with 71)",,,absent,,5,5,irridescent shine ,
,Adelium sp1,NA,15,,Tenebrionidae,Adeliini,2,notall,,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,,,,,,,,,,,,
Adotela apicalis,,AFD,128,Sloane,Carabidae,Brosini,2,all,30,yes,carnivore,on,carnivore,,ground,,,11,"fused, with ridge along head sticks out, wider body than MSP12",,,absent,predatory,11,10,black shine,large eyes
Adotela frenchi,,AFD,8,Sloane,Carabidae,Brosini,2,all,29,yes,carnivore,on,carnivore,,ground,,,12,"fused, no/slight ridge along head, abdomen thinner than MSP11",,,absent,predatory,9,8,black shine,large eyes
Batessia westwoodi,Agasthenes westwoodi,AFD,87,Bates,Tenebrionidae,Cyphaleini,2,all,19,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,subterranean ?,,54,"brown with predatory jaws, smooth head thorax and abdomen (compare with MSP28)- smooth elytra and (MSP 57) - thinner abdomen",,,absent,detritivore,7,4,brown - shine,
Agrypnus assus,,AFD,4,,Elateridae,Agrypninae,1,notall,,no,omnivore,on,omnivore,larvae plant roots etc,concealed places/nocturnal,in soil,,,,,,,,,,,
Amphianax subcoriaceus,,AFD,1,,Tenebrionidae,,3,notall,,yes,scavenger,,scavenger,,,,,,,,,,,,,,
,Aphodopsammobius sp,NA,2,,Scarabaeidae,Aphodiinae,2,all,12.5,no,coprophage,on,coprophage,dung,in dung,in soil,,"100, 63, 105",black flattened body with paralell dots over entire body,,,present (large),,4,1,black,textured
,Arthropterus sp1,NA,2,,Carabidae,Paussinae,2,all,4,yes,carnivore,on,carnivore,larvae prey on ants,under bark/logs,live with ants ?,,51,"feathered antennae! Red-brown, re flightless, no(m), yes (f)",,,present (large),,1,3,brown - red,
,Arthropterus sp2,NA,1,,Carabidae,Paussinae,2,notall,,yes,carnivore,on,carnivore,larvae prey on ants,under bark/logs,live with ants ?,,,re flightless: no(m)/yes (f),,,,,,,,
Blackbolbus puncticollis,,AFD,1,Macleay,Scarabaeidae,,2,notall,15,no,,,,,,,,"85,111",reddish-brown medium scarab with point on head,,,present (large),pollinator,5,1,brown,fur on body
