Final code,Family,Subfamily,Tribe,GENUS,SPECIES,taxon_name,taxon_name_original,taxname_source,Size_mm,Flightless,Feeding
COL287,CURCULIONIDAE,CURCULIONINAE,ATERPINI,Anomocis,apicalis,Anomocis apicalis,,AFD,15,0,PHY
COL065,STAPHYLINIDAE,OXYTELINAE,,Anotylus,cribriceps ,Anotylus cribriceps,,AFD,2.7,0,SAP
COL625,STAPHYLINIDAE,OXYTELINAE,,Anotylus,vinsoni,Anotylus vinsoni,,AFD,3.6,0,SAP
COL206,ANTHICIDAE,,,Anthicus ,scydmaenoides ,Anthicus scydmaenideus,Anthicus scydmaenoides,AFD,2.1,0,SAP
COL095,LATRIDIIDAE,LATRIDIINAE,,Aridius,minor,Aridius minor,,AFD,1.3,0,MYC
COL094,LATRIDIIDAE,LATRIDIINAE,,Aridius,nodifer,Aridius nodifer,,AFD,2,0,MYC
COL284,LATRIDIIDAE,LATRIDIINAE,,Aridius,semicostatus,Aridius semicostatus,,AFD,1.75,0,MYC
COL088,NITIDULIDAE,CILLAEINAE,,Brachypeplus,planus,Brachypeplus planus,,AFD,4,0,MYC
COL263,NITIDULIDAE,CARPOPHILINAE,,Carpophilus,hemipterus,Carpophilus hemipterus,,AFD,2.9,0,MYC
COL162,NITIDULIDAE,CARPOPHILINAE,,Carpophilus,terminalis ,Carpophilus terminalis,,AFD,2.2,0,MYC
COL174,LATRIDIIDAE,LATRIDIINAE,,Cartodere,constricta,Cartodere constrictus,Cartodere constricta,AFD,1.2,0,MYC
COL482,BRENTIDAE,BRENTINAE,,Cordus,hospes,Cordus hospes,,AFD,10.5,0,MYR
COL242,SCARABAEIDAE,CETONIINAE,,Diaphonia,gulosa,Chondropyga gulosa gulosa,Diaphonia gulosa,AFD,25,0,XYL
COL435,COCCINELLIDAE,COCCINELLINAE,DIOMINI,Diomus,notescens,Diomus notescens,,AFD,2.3,0,PRE
COL476,ZOPHERIDAE,ZOPHERINAE,PYCNOMERINI,Docalis,funerosus,Docalis funerosa,Docalis funerosus,AFD,4,0,XYL
COL326,CARABIDAE,BROSCINI,,Eurylychnus,blagravei,Eurylychnus blagravei,,AFD,20.5,1,PRE
COL514,CARABIDAE,HARPALINI,,Euthenarus,promptus ,Euthenarus promptus,,AFD,4.3,0,"PRE, PHY"
COL333,CARABIDAE,HARPALINI,,Hypharpax,peronii ,Hypharpax peronii,,AFD,5.9,0,"PRE, PHY"
COL165,LAEMOPHLOEIDAE,,,Laemophloeus,ramsayi ,Laemophloeus ramsayi,,AFD,2.3,0,MYC
COL116,CURCULIONIDAE,CURCULIONINAE,ENTIMINI,Mandalotus,insignis,Mandalotus insignis,,AFD,7,1,PHY
COL338,CARABIDAE,PSYDRINI,,Moriodema,mcoyei,Moriodema mcoyei,,AFD,10.5,0,PRE
COL028,LEIODIDAE,CHOLEVINI,,Nargiotes ,antipodum ,Nargiotes blackburni,Nargiotes antipodum,AFD,2.7,0,SAP
COL030,LEIODIDAE,CHOLEVINI,,Nargomorphus,globulus,Nargomorphus globulus,,AFD,1.7,0,SAP
