id,Full_Name,taxon_name,taxon_name_original,taxname_source,Old_Name,Family,Subfamily_Tribe,Composite_Taxon,Size_mm,NRE,Winged,Aquatic,Feeding_Guild,Microhabitat,Introduced_Native
1002,CURC: Aterpini: Aades cultratus (Aterpini BF01/BF02),Aades cultratus,,AFD,Aterpini.BF01,Curculionidae,Aterpini,No,8,No,Yes,No,Herbivore,Vegetation,Native
869,TEN: ULOM: Achthosus westwoodi (Achthosus BF01),Achthosus westwoodi,,AFD,Achthosus.BF01,Tenebrionidae,Ulominae,No,16,No,Yes,No,Detrivore,Dead Wood,Native
441,SCARAB: APHOD: Acrossidius tasmaniae,Acrossidius tasmaniae,,AFD,Acrossidius.BF1.tasmaniae,Scarabaeidae,Aphodiinae,No,10,No,Yes,No,Detritivore,Geophilous,Native
798,TEN: ADEL: Adelium punctatissimum (Adelium BF13),Adelium punctatissimum,,AFD,Adelium.BF13,Tenebrionidae,Adeliini,No,7,Possible,No,No,Detrivore,Geophilous,Native
896,CERAM: Adrium artifax (Cerambycid BF01),Adrium artifex,Adrium artifax,AFD,Cerambycid.BF01,Cerambycidae,Cerambycinae,No,11,No,Yes,No,Herbivore,Vegetation,Native
582,ELAT: Agrypnus caliginosus,Agrypnus caliginosus,,AFD,Agrypnus.caliginosus,Elateridae,,No,13,No,Yes,No,Herbivore,Ground/Vegetation,Native
379,LEOI: Agyrtodini: Agyrtodes eucalypti? ,Agyrtodes eucalypti,Agyrtodes eucalypti? ,AFD,Agyrtodes.BF1,Leiodidae,Agyrtodini,No,3,No,Yes,No,Fungivore,Geophilous,Native
380,LEOI: Agyrtodini: Agyrtodes variegatus,Agyrtodes variegatus,,AFD,Agyrtodes.BF2.variegatus,Leiodidae,Agyrtodini,No,2,No,Yes,No,Fungivore,Geophilous,Native
595,BYRR: Akidomorychus polychromus (BF1),Akidomorychus polychromus,,AFD,Akidomorychus.BF1,Byrrhidae,,No,3,No,Yes,No,Herbivore,Geophilous,Native
596,BYRR: Akidomorychus raucus (Byrrhid BF02),Akidomorychus raucus,,AFD,Akidomorychus.BF02,Byrrhidae,,No,3,No,Yes,No,Herbivore,Geophilous,Native
2,DYT: Allodessus bistrigiatus,Allodessus bistrigatus,Allodessus bistrigiatus,AFD,Allodessus.bistrigiatus,Dytiscidae,Bidessini,No,3,No,Yes,Yes,Predator,Aquatic,Native
57,CAR: MOR: Amblytelus curtus continetalis (Amblytelus BF01),Amblytelus curtus continentalis,Amblytelus curtus continetalis,AFD,Amblytelus.BF01,Carabidae,Moriomorphini,No,11.5,No,Yes,No,Predator,Geophilous,Native
456,SCARAB: SCARAB: Amphistomus speculifer,Amphistomus speculifer,,AFD,Amphistomus.speculifer,Scarabaeidae,Scarabaeinae,No,9,No,Yes,No,Detritivore,Dung,Native
198,STAPH: PROT: Anepius koebelei,Anepius koebelei,,AFD,Anepius.koebelei.BF1,Staphylinidae,Proteininae,No,2.5,No,No,No,Predator,Geophilous,Native
42,CAR: LEB: Anomotarus alpinus,Anomotarus (Anomotarus) alpinus,Anomotarus alpinus,AFD,Anomotarus.BF2b,Carabidae,Lebiinae,No,6,Possible,Yes,No,Predator,Geophilous,Native
39,CAR: LEB: Anomotarus illawarrae,Anomotarus (Anomotarus) illawarrae,Anomotarus illawarrae,AFD,Anomotarus.illawarrae,Carabidae,Lebiinae,No,6.5,No,Yes,No,Predator,Geophilous,Native
41,CAR: LEB: Anomotarus laticollis,Anomotarus (Anomotarus) laticollis,Anomotarus laticollis,AFD,Anomotarus.BF2,Carabidae,Lebiinae,No,6,Possible,Yes,No,Predator,Geophilous,Native
