taxon_name,taxonomic_status,valid_name,genus
Acizzia errabunda,accepted,Acizzia errabunda,Acizzia errabunda
Agasthenes,accepted,Agasthenes,Agasthenes
Anaxo,synonym,Lepturidea,Anaxo
Articerus,synonym,Articerodes,Articerus
Atalophlebioides,accepted,Atalophlebioides,Atalophlebioides
Brinckitia,accepted,Brinckitia,Brinckitia
Castiarina lisaejessicae,accepted,Castiarina lisaejessicae,Castiarina
Choleva,accepted,Choleva,Choleva
Colophorina,accepted,Colophorina,Colophorina
Conoderus,accepted,Monocrepidius,Conoderus
Correa,synonym,Aleochara,Correa
Cryptoryctes caviceps,genus_accepted,Cryptoryctes,Cryptoryctes
Drasterius,accepted,Drasterius,Drasterius
Elaphostomus,synonym,Geotrupidae,Elaphostomus
Euastacus coughrani,accepted,Euastacus coughrani,Euastacus
Euastacus maccai,accepted,Euastacus maccai,Euastacus
Euastacus serratus,synonym,Euastacus spinifer,Euastacus
Euryconus,accepted,Euryconus,Euryconus
Falagria,accepted,Falagria,Falagria
Glipostena,accepted,Glipostena,Glipostena
Incertae Sedis,synonym,Megachilinae ,Incertae Sedis
Litetolater,synonym,Elateridae,Litetolater
Loberini,synonym,Erotylidae,Loberini
Melobasis abigailae,accepted,Melobasis abigailae,Melobasis
Metophthalmus,accepted,Metophthalmus,Metophthalmus
Microsilpha,accepted,Microsilpha,Microsilpha
Mycetoporus,accepted,Mycetoporus,Mycetoporus
Onthophagus bulga,accepted,Onthophagus bulga,Onthophagus
Paurocephala,accepted,Paurocephala,Paurocephala
Pchycoelius,synonym,Lepispilus,Pchycoelius
Sciatrophes,accepted,Sciatrophes,Sciatrophes
Syrphus,synonym,Asarkina,Syrphus
Teretriosoma,accepted,Teretriosoma,Teretriosoma
Xyleborinus solidus,accepted,Xyleborinus solidus,Xyleborinus
Yilgarnia,synonym,Kwonkan,Yilgarnia
Trachytetra,accepted,Trachytetra,Trachytetra
Ephippiger ephippiger,accepted,Ephippiger ephippiger,Ephippiger
Trisetipsylla,,Trisetipsylla,Trisetipsylla
Trigona,,,
Scydmaenidae,,,
