taxon_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Abelmoschus ficulneus,FALSE,TRUE,NA,NA,1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abelmoschus manihot,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abelmoschus moschatus,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Abelmoschus moschatus subsp. tuberosus,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abrodictyum caudatum,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abrodictyum obscurum,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Abrotanella,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abrotanella forsteroides,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abrotanella nivigena,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abrus precatorius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abrus precatorius subsp. precatorius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abutilon,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abutilon calliphyllum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon cryptopetalum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abutilon fraseri,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon fraseri subsp. diplotrichum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon fraseri subsp. fraseri,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon halophilum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon hannii,FALSE,TRUE,NA,NA,1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abutilon indicum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon indicum subsp. albescens,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon lepidum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon leucopetalum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abutilon macrum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon malvifolium,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon otocarpum,TRUE,TRUE,NA,NA,1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Abutilon oxycarpum,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abutilon oxycarpum f. acutatum,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abutilon oxycarpum var. incanum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon oxycarpum var. oxycarpum,FALSE,FALSE,NA,NA,0--1,NA,NA,1,1,NA,NA,0.2,NA,NA,0.5848035476
Abutilon oxycarpum var. subsagittatum,FALSE,FALSE,NA,NA,0--1,NA,NA,1,1,NA,NA,0.2,NA,NA,0.5848035476
