taxon_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Aristida vagans,TRUE,NA,NA,0.3,1--5,1,0.11627907,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Imperata cylindrica,TRUE,NA,NA,0.3,1--5,1,0.11627907,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Lobelia purpurascens,TRUE,NA,NA,0.3,1--5,1,0.11627907,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Brunoniella pumilio,TRUE,TRUE,NA,1,1--5,1,0.11627907,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Pseuderanthemum variabile,TRUE,NA,NA,NA,1--5,1,0.135658915,0.2,NA,NA,NA,0.2,0.2,0.2,0.2
Solanum chenopodioides,TRUE,NA,NA,NA,NA,NA,0.135658915,0.2,NA,NA,NA,NA,NA,0.2,0.2
Verbena litoralis,TRUE,NA,NA,NA,NA,NA,0.135658915,0.2,NA,NA,NA,NA,NA,0.2,0.2
Entolasia stricta,TRUE,TRUE,NA,0.3,0--1,1,0.15503876,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Eragrostis brownii,TRUE,TRUE,NA,0.3,0--1,1,0.15503876,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Microlaena stipoides,TRUE,NA,NA,NA,0--1,NA,0.15503876,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Aristida ramosa,TRUE,NA,NA,NA,1--5,NA,0.15503876,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Echinopogon caespitosus,TRUE,NA,NA,NA,1--5,NA,0.15503876,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Cymbopogon refractus,TRUE,FALSE,NA,0.3,1--5,1,0.174418605,0.2,1,NA,0.2,0.2,0.2,0.2,0.261532097
Rumex brownii,TRUE,FALSE,NA,0.4,1--5,1,0.174418605,0.2,1,NA,0.2,0.2,0.2,0.2,0.261532097
Lagenophora gracilis,TRUE,NA,NA,1,1--5,1,0.174418605,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Paspalum urvillei,TRUE,NA,NA,NA,NA,1,0.174418605,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Setaria parviflora,TRUE,NA,NA,NA,NA,1,0.174418605,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Eragrostis leptostachya,TRUE,NA,NA,0.3,0--1,NA,0.174418605,0.2,NA,NA,0.2,0.2,NA,0.2,0.2
Entolasia marginata,TRUE,TRUE,NA,NA,0--1,NA,0.174418605,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Nothoscordum borbonicum,TRUE,NA,NA,NA,NA,NA,0.174418605,0.2,NA,NA,NA,NA,NA,0.2,0.2
Poa labillardieri,TRUE,NA,NA,NA,NA,NA,0.174418605,0.2,NA,NA,NA,NA,NA,0.2,0.2
Gamochaeta americana,TRUE,NA,NA,NA,NA,0.519230769,0.19379845,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Blechnum cartilagineum,TRUE,NA,NA,NA,0--5,1,0.19379845,0.2,NA,NA,NA,0.2,0.2,0.2,0.2
Ptilothrix deusta,TRUE,TRUE,NA,0.35,1--5,1,0.19379845,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Leichhardtia suaveolens,TRUE,FALSE,NA,0.4,1--5,1,0.19379845,0.2,1,NA,0.2,0.2,0.2,0.2,0.261532097
Glycine tabacina,TRUE,TRUE,NA,0.5,1--5,1,0.19379845,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Commelina cyanea,TRUE,NA,NA,NA,1--5,1,0.19379845,0.2,NA,NA,NA,0.2,0.2,0.2,0.2
Cyperus brevifolius,TRUE,NA,NA,0.2,NA,1,0.19379845,0.2,NA,NA,0.2,NA,0.2,0.2,0.2
Cyperus eragrostis,TRUE,NA,NA,0.4,NA,1,0.19379845,0.2,NA,NA,0.2,NA,0.2,0.2,0.2
Hypochaeris radicata,TRUE,TRUE,NA,1,NA,1,0.19379845,0.2,0.2,NA,0.2,NA,0.2,0.2,0.2
Paspalum dilatatum,TRUE,NA,NA,NA,NA,1,0.19379845,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Pteridium esculentum,TRUE,TRUE,NA,2,1--5,2,0.19379845,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Juncus articulatus,TRUE,NA,NA,NA,NA,2,0.19379845,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Cyperus polystachyos,FALSE,NA,NA,NA,0--1,NA,0.19379845,1,NA,NA,NA,0.2,NA,0.2,0.341995189
Isolepis cernua,TRUE,NA,NA,NA,0--1,NA,0.19379845,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Alternanthera denticulata,TRUE,TRUE,NA,NA,0--1,NA,0.19379845,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Centella asiatica,TRUE,NA,NA,NA,1--5,NA,0.19379845,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Corunastylis fimbriata,TRUE,NA,NA,NA,1--5,NA,0.19379845,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Hydrocotyle sibthorpioides,TRUE,TRUE,NA,NA,1--5,NA,0.19379845,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Todea barbara,TRUE,FALSE,NA,1,5--20,NA,0.19379845,0.2,1,NA,0.2,1,NA,0.2,0.380730788
Chiloglottis sp. [Kubiak_2009],TRUE,NA,NA,NA,NA,NA,0.19379845,0.2,NA,NA,NA,NA,NA,0.2,0.2
Erigeron karvinskianus,TRUE,NA,NA,NA,NA,NA,0.19379845,0.2,NA,NA,NA,NA,NA,0.2,0.2
Telmatoblechnum indicum,TRUE,NA,NA,NA,NA,NA,0.19379845,0.2,NA,NA,NA,NA,NA,0.2,0.2
Plantago lanceolata,TRUE,FALSE,NA,NA,NA,NA,0.19379845,0.2,1,NA,NA,NA,NA,0.2,0.341995189
Lagenophora stipitata,TRUE,FALSE,NA,NA,1--5,1,0.2,0.2,1,NA,NA,0.2,0.2,0.2,0.275945932
Drosera auriculata,TRUE,TRUE,NA,NA,1--5,1,0.2,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Thysanotus juncifolius,TRUE,TRUE,NA,NA,1--5,1,0.2,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Xanthorrhoea media,TRUE,FALSE,NA,1.25,NA,1,0.2,0.2,1,NA,0.2,NA,0.2,0.2,0.275945932
Pimelea spicata,TRUE,TRUE,NA,NA,NA,1,0.2,0.2,0.2,NA,NA,NA,0.2,0.2,0.2
Rytidosperma tenuius,TRUE,NA,NA,1,0--1,1,0.213178295,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Epilobium billardiereanum subsp. cinereum,TRUE,TRUE,NA,NA,0--1,1,0.213178295,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Hypericum gramineum,TRUE,TRUE,NA,NA,1--5,1,0.213178295,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Taraxacum sect. Taraxacum,TRUE,TRUE,NA,1,NA,1,0.213178295,0.2,0.2,NA,0.2,NA,0.2,0.2,0.2
Paspalum quadrifarium,TRUE,NA,NA,NA,NA,1,0.213178295,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Brachyscome triloba,TRUE,NA,NA,NA,1--5,NA,0.213178295,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Hemarthria uncinata,TRUE,NA,NA,NA,1--5,NA,0.213178295,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Pullenia gunnii,TRUE,TRUE,NA,NA,1--5,NA,0.213178295,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Aristida warburgii,TRUE,NA,NA,NA,NA,NA,0.213178295,0.2,NA,NA,NA,NA,NA,0.2,0.2
Hydrocotyle bonariensis,TRUE,NA,NA,NA,NA,NA,0.213178295,0.2,NA,NA,NA,NA,NA,0.2,0.2
Amaryllis belladonna,TRUE,NA,NA,NA,NA,NA,0.23255814,0.2,NA,NA,NA,NA,NA,0.2,0.2
Ehrharta erecta,TRUE,TRUE,NA,NA,NA,NA,0.23255814,0.2,0.2,NA,NA,NA,NA,0.2,0.2
Desmodium rhytidophyllum,TRUE,TRUE,NA,0.3,1--5,1,0.251937984,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Themeda triandra,TRUE,TRUE,NA,1,1--5,1,0.251937984,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Digitaria parviflora,TRUE,NA,NA,NA,0--1,NA,0.251937984,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Schelhammera undulata,TRUE,NA,NA,NA,1--5,NA,0.251937984,0.2,NA,NA,NA,0.2,NA,0.2,0.2
Chloris gayana,TRUE,NA,NA,NA,NA,NA,0.251937984,0.2,NA,NA,NA,NA,NA,0.2,0.2
Erythrina crista-galli,TRUE,NA,NA,NA,NA,NA,0.251937984,0.2,NA,NA,NA,NA,NA,0.2,0.2
Panicum simile,TRUE,NA,NA,0.3,0--1,1,0.290697674,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Blechnum lineare,TRUE,NA,NA,NA,1--5,1,0.290697674,0.2,NA,NA,NA,0.2,0.2,0.2,0.2
Sporobolus creber,TRUE,NA,NA,NA,5--20,1,0.290697674,0.2,NA,NA,NA,1,0.2,0.2,0.299069756
Andropogon virginicus,TRUE,NA,NA,NA,NA,1,0.290697674,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Eustrephus latifolius,TRUE,TRUE,NA,NA,5--10,NA,0.290697674,0.2,0.2,NA,NA,1,NA,0.2,0.299069756
