trait_parent_categories,trait_name,life_stage_relevance,sex_relevance,description,trait_type,...7,...8,...9,...10,...11,...12
demography,generation_length,species_level,species_level,"Average age of parents of the current cohort (i.e., of cohort of newborn individuals in the population). Generation length reflects the turnover rate of breeding individuals in a population.",numeric,NA,NA,NA,NA,NA,NA
demography,life_span,species_level,varies_with_sex,Average length of life or life expectancy of a population,numeric,NA,NA,NA,NA,NA,NA
demography,life_span_categories,species_level,varies_with_sex,"Categorical description (days, months, etc.) of life or life expectancy of a population",categorical,NA,NA,NA,NA,NA,NA
demography,lifestage_length_categories,species_level,varies_with_sex,The life stage that makes up the greatest proportion of an individual's life span,categorical,NA,NA,NA,NA,NA,NA
demography,"time_to_maturity
",species_level,varies_with_sex,"Time to maturity, including the time spent as dormant larval forms, aestivation and holometabolous taxa",numeric,NA,NA,NA,NA,NA,NA
demography,time_to_maturity_categories,species_level,varies_with_sex,"Categorical description (days, months, etc.) of time to maturity, including the time spent as dormant larval forms, aestivation and holometabolous taxa",categorical,NA,NA,NA,NA,NA,NA
distribution,AOO,species_level,species_level,"Area within a species' EOO, excluding cases of vagrancy (IUCN 2001). See https://www.ala.org.au/spatial-portal-help/aoo/.",numeric,NA,NA,NA,NA,NA,NA
distribution,EOO,species_level,species_level,"Area contained within the shortest continuous imaginary boundary that encompasses all known, inferred, or projected sites of present occurrence of a taxon, excluding cases of vagrancy (IUCN 2012). For migratory species, EOO should be based on the minimum of breeding or non-breeding (wintering) areas, but not both. See https://www.ala.org.au/spatial-portal-help/aoo/.",numeric,NA,NA,NA,NA,NA,NA
distribution,home_range_individual,varies_with_life_stage,varies_with_sex,The area in which an individual of a species lives and moves on a periodic basis,numeric,NA,NA,NA,NA,NA,NA
distribution,species_range_categories,species_level,species_level,Description of the extent of the area occupied by all individuals of a species (including migratory range),categorical,NA,NA,NA,NA,NA,NA
distribution,subpopulation_connectivity,species_level,species_level,"Description of subpopulation connectivity (combination of distribution and connectivity) for a species within a landscape. Connectivity can be infuenced by taxon specific features, such as habitat specialisation or dispersal ability, of from landscape features, such as vegetation clearance.",categorical,NA,NA,NA,NA,NA,NA
ecology,ecological_dependency,varies_with_life_stage,varies_with_sex,Nature of dependency (generalist/specialist) of a taxon on other organisms for a part of its life or to complete some aspect of its lifecycle,categorical,NA,NA,NA,NA,NA,NA
ecology,functional_role,varies_with_life_stage,varies_with_sex,Role played by a taxon in the formation and maintenance of its ecosystem,categorical,NA,NA,NA,NA,NA,NA
