taxon_name,trait_name,value,unit,genus,family,order,class,taxon_rank,trait_parent_categories
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_shrub_small arboreal_trees,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_shrub_small arboreal_trees,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_trees vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_trees vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_trees vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_trees vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
Tetragonula sp. [Tetragonula; Adams_1992],microhabitat_activity,arboreal_trees vegetation_understorey,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,microhabitat
Tetragonula sp. [Tetragonula; Adams_1992],functional_role,pollinator,NA,Tetragonula,Apidae,Hymenoptera,Insecta,genus,ecology
