griis_names_untidy,taxon,note,corrected_name,exclude_JM
Psittacine beak and feather disease PBFD,beak and feather disease,,,1
Mya japonica Jay 1857,Bivalve,marine,Mya japonica,1
"Varicorbula gibba Olivi, 1792",Bivalve,,Varicorbula gibba,1
"Conopeum tenuissimum Canu, 1908",Bryozoa,marine,Conopeum tenuissimum,1
"Schizoporella japonica Ortmann, 1890",Bryozoa,marine,Schizoporella japonica,1
"Garveia franciscana Torrey, 1902",Cnidaria,"brackish, marine",Calyptospadix cerulea,0
"Corvus splendens Vieillot, 1817",crow,,,1
"Balanus albicostatus Pilsbry, 1916",Crustacea,marine,Balanus albicostatus,1
"Cancer novaezealandiae Jacquinot, 1853",Crustacea,marine,Cancer novaezealandiae,1
"Synidotea laevidorsalis Miers, 1881",Crustacea,marine,Synidotea laevidorsalis,1
"Streptopelia senegalensis Linnaeus, 1766",dove,,,1
Anas superciliosa X platyrhynchos,Duck,,,1
"Cairina moschata Linnaeus, 1758",Duck,,,1
"Parachromis managuensis Günther, 1867",fish,,,1
"Scleropages formosus MÃ¼ller & Schlegel, 1840",fish,,,1
"Cavia porcellus Linnaeus, 1758",Guinea pig (squeak),,,1
"Lama pacos Linnaeus, 1758",Lama,,,1
"Corbula amurensis Schrenck, 1861",mollusca,"brackish, marine",Corbula amurensis,0
"Alexandrium Halim, 1960",Myzozoa,marine,,1
"Pfiesteria K.A.Steidinger & J.M.Burkholder, 1996",Myzozoa,marine,,1
Antithamnion cruciatum C.Agardh NÃ¤geli,plant,marine,,1
"Caulerpa cylindracea Sonder, 1845",plant,marine,,1
Caulerpa filiformis Suhr Hering,plant,marine,,1
Codium fragile subsp. tomentosoides Goor P.C.Silva,plant,marine,,1
Cottoniella fusiformis BÃ¸rgesen,plant,marine,,1
Grateloupia imbricata Holmes,plant,marine,,1
"Pseudocodium devriesii A.Weber-van Bosse, 1896",plant,marine,,1
Abelia Ã—grandiflora Rovelli ex AndrÃ© Rehder,plant,,,1
Abutilon grandiflorum G.Don,plant,,,1
Acacia baileyana x decurrens,plant,,,1
Acacia baileyana x leucoclada,plant,,,1
Acacia erioloba E.Mey.,plant,,,1
Aeonium castello-paivae Bolle,plant,,,1
"Agrostis hyemalis Walter Britton, Sterns & Poggenb.",plant,,,1
Allium obliquum L.,plant,,,1
Aloe parvibracteata SchÃ¶nland,plant,,,1
Aloe striata x maculata,plant,,,1
Amphilophium crucigerum L. L.G.Lohmann,plant,,,1
Amphilophium crucigerum L. L.G.Lohmann,plant,,,1
Anaphalis margaritacea L. Benth. & Hook.f.,plant,,,1
Arctotis venusta Norl.,plant,,,1
Aristolochia macrophylla Lam.,plant,,,1
Artemisia thuscula Cav.,plant,,,1
Astragalus vogelii Ehrenb.,plant,,,1
Babiana fragrans Jacq. Steud.,plant,,,1
Blighia sapida Kon.,plant,,,1
Bromus lithobius x cedabilla,plant,,,1
Bryophyllum daigremontianum x tubiflorum,plant,,,1
Bryophyllum xhoughtonii D.B.Ward P.I.Forst.,plant,,,1
Calliandra haematocephala Hassk.,plant,,,1
Calliandra houstoniana Mill. Standl.,plant,,,1
Calliandra riparia Pittier,plant,,,1
Campsis Ã—tagliabuana Vis. Rehder,plant,,,1
Carex cuprina Sándor ex Heuff. Nendtv. ex A.Kern.,plant,,,1
Carex viridula Franch. & Sav.,plant,,,1
Carpobrotus aequilaterus x Sarcozona bicarinata,plant,,,1
Carpobrotus edulis x virescens,plant,,,1
Cereus hildmannianus K.Schum.,plant,,,1
Clerodendrum grandiflorum Hook. Schauer,plant,,,1
Convolvulus tricolor L.,plant,,,1
Cortaderia jubata Lemoine ex CarriÃ¨re Stapf,plant,,,1
Crambe hispanica L.,plant,,,1
Crataegus rhipidophylla Gand.,plant,,,1
Cynodon aethiopicus x nlemfuensis,plant,,,1
Echinochloa stagnina P.Beauv.,plant,,,1
Echinospartum horridum Vahl Rothm.,plant,,,1
Equisetum ramosissimum Desf.,plant,,,1
Eragrostis patula Steud.,plant,,,1
Erucastrum austroafricanum Al-Shehbaz & Warwick,plant,,,1
Erythrina acanthocarpa E.Mey.,plant,,,1
Fallopia convolvulus L. Ã.LÃ¶ve,plant,,,1
Fimbristylis alboviridis C.B.Clarke,plant,,,1
Fimbristylis umbellaris Lam. Vahl,plant,,,1
Freesia alba x leichtlinii,plant,,,1
Freesia leichtlinii x refracta,plant,,,1
Fumaria vaillantii Loisel.,plant,,,1
Galactites tomentosa Moench,plant,,,1
Gazania serrata DC.,plant,,,1
Glandularia pulchella Sweet Tronc.,plant,,,1
