updated_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Acacia acuminata,TRUE,TRUE,5,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,0.2
Acacia burkittii,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia aneura,FALSE,TRUE,4,NA,10--,NA,NA,1,0.2,0.2,NA,1,NA,NA,0.447213595
Acacia aulacocarpa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia baileyana,FALSE,TRUE,NA,NA,NA,2.616279,NA,1,0.2,NA,NA,NA,0.2,NA,0.341995189
Vachellia bidwillii,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia binervata,TRUE,TRUE,NA,NA,NA,5,NA,0.2,0.2,NA,NA,NA,0.2,NA,0.2
Acacia blakelyi,FALSE,TRUE,2,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.341995189
Acacia calamifolia,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia cincinnata,TRUE,TRUE,12,NA,NA,NA,NA,0.2,0.2,1,NA,NA,NA,NA,0.341995189
Acacia concurrens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia cyclops,FALSE,NA,2,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.447213595
Acacia cyperophylla,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia dealbata,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Acacia deanei,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia decurrens,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Acacia doratoxylon,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Acacia falcata,FALSE,TRUE,NA,NA,1--5,1.744186,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Acacia filicifolia,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Acacia floribunda,TRUE,TRUE,NA,2.5,5--20,3,2.61627907,0.2,0.2,NA,0.2,1,0.2,0.2,0.261532097
Acacia harpophylla,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Acacia holosericea,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Acacia implexa,TRUE,TRUE,NA,NA,5--20,1,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Acacia ingramii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia irrorata,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia leiocalyx,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Acacia leptostachya,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Acacia ligulata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Acacia linifolia,FALSE,TRUE,NA,NA,NA,1.085271,NA,1,0.2,NA,NA,NA,0.2,NA,0.341995189
Acacia longifolia,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia mangium,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Acacia mearnsii,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Acacia melanoxylon,TRUE,TRUE,NA,NA,5--20,5,3,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Acacia montana,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia mucronata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Acacia myrtifolia,FALSE,TRUE,1.75,NA,5--20,2,NA,1,0.2,0.2,NA,1,0.2,NA,0.380730788
Acacia obliquinervia,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia obtusifolia,TRUE,TRUE,NA,NA,5--20,4,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Acacia oswaldii,TRUE,FALSE,NA,NA,4--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Acacia paradoxa,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Acacia parramattensis,FALSE,TRUE,NA,NA,5--20,5,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
