taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Astacopsis franklinii,NA,AFD,species,Parastacidae,adult,NA,NA,male,occipital_carapace_length,individual,raw,mm,50.9,1,Measurement made on museum specimen. NHM 1891.6.20.93,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis franklinii,NA,AFD,species,Parastacidae,adult,NA,NA,male,body_length,individual,raw,mm,111.8,1,Measurement made on museum specimen. NHM 1891.6.20.93,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis franklinii,NA,AFD,species,Parastacidae,adult,NA,NA,female,occipital_carapace_length,individual,raw,mm,48.1,1,Measurement made on museum specimen. Museum Victoria J46761,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis franklinii,NA,AFD,species,Parastacidae,adult,NA,NA,female,occipital_carapace_length,individual,raw,mm,38.4,1,Measurement made on museum specimen. Museum Victoria J46760,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis franklinii,NA,AFD,species,Parastacidae,adult,NA,NA,female,occipital_carapace_length,individual,raw,mm,36.1,1,Measurement made on museum specimen. Museum Victoria J46760,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis gouldi,NA,AFD,species,Parastacidae,adult,NA,NA,male,occipital_carapace_length,individual,raw,mm,110.1,1,Measurement taken from plate.,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,"Riek, E. F. (1972). The phylogeny of the Parastacidae (Crustacea: Astacoidea), and description of a new genus of Australian freshwater crayfishes. Australian Journal of Zoology, 20(4), 369-389."
Astacopsis gouldi,NA,AFD,species,Parastacidae,adult,NA,NA,male,body_length,individual,raw,mm,238.2,1,Measurement taken from plate.,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,"Riek, E. F. (1972). The phylogeny of the Parastacidae (Crustacea: Astacoidea), and description of a new genus of Australian freshwater crayfishes. Australian Journal of Zoology, 20(4), 369-389."
Astacopsis gouldi,NA,AFD,species,Parastacidae,adult,NA,NA,female,occipital_carapace_length,individual,raw,mm,93.7,1,Measurement made on museum specimen. Australian Museum P13031,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis gouldi,NA,AFD,species,Parastacidae,adult,NA,NA,female,body_length,individual,raw,mm,199.4,1,Measurement made on museum specimen. Australian Museum P13031,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
Astacopsis gouldi,NA,AFD,species,Parastacidae,adult,NA,NA,male,occipital_carapace_length,individual,raw,mm,72.5,1,Measurement made on museum specimen. Museum Victoria J46753,NA,NA,"Measurements were obtained from species descriptions, museum plates, museum specimens, or field specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bland_2017,doi: 10.1111/acv.12350,"Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.",article,NA
