taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Anomocis apicalis,NA,AFD,species,Curculionidae,adult,NA,NA,NA,body_length,metapopulation,median,mm,15,NA,NA,NA,NA,"Once collected the body lengths of a few beetles were measured for each taxon and the median used. 
      Beetles were sampled along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anomocis apicalis,NA,AFD,species,Curculionidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,"We categorised whether species were flightless or flight-capable by referring to 
      data used in previous work at the Wog Wog Fragmentation Experiment (Margules 1992; Davies et al. 2000) for the same 
      species in the same area. For species that we were not able to match to the Wog Wog beetle collection, we determined 
      whether they had functional wings according to other similar species in the same genus. Beetles were sampled
      along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anomocis apicalis,NA,AFD,species,Curculionidae,adult,NA,NA,NA,functional_role,metapopulation,NA,NA,herbivore,NA,NA,NA,NA,"We categorised our species into feeding guilds (predator, saproxylic, phytophagous, 
      mycetophagous, myrmecophylous, xylophagous) by referring to data used in previous work at the Wog Wog Fragmentation 
      Experiment (Margules 1992; Davies et al. 2000) for the same species in the same area. For species that we were not 
      able to match to the Wog Wog beetle collection, we assigned them to a feeding-guild according to other similar species 
      in the same genus that had already been assigned a feeding guild. Beetles were sampled along trasects using pitfall traps. 
      At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anomocis apicalis,NA,AFD,species,Curculionidae,adult,NA,NA,NA,microhabitat_activity,metapopulation,NA,NA,vegetation,NA,NA,NA,NA,"Beetles were sampled along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus cribriceps,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,body_length,metapopulation,median,mm,2.7,NA,NA,NA,NA,"Once collected the body lengths of a few beetles were measured for each taxon and the median used. 
      Beetles were sampled along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus cribriceps,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,"We categorised whether species were flightless or flight-capable by referring to 
      data used in previous work at the Wog Wog Fragmentation Experiment (Margules 1992; Davies et al. 2000) for the same 
      species in the same area. For species that we were not able to match to the Wog Wog beetle collection, we determined 
      whether they had functional wings according to other similar species in the same genus. Beetles were sampled
      along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus cribriceps,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,functional_role,metapopulation,NA,NA,xylophage,NA,NA,NA,NA,"We categorised our species into feeding guilds (predator, saproxylic, phytophagous, 
      mycetophagous, myrmecophylous, xylophagous) by referring to data used in previous work at the Wog Wog Fragmentation 
      Experiment (Margules 1992; Davies et al. 2000) for the same species in the same area. For species that we were not 
      able to match to the Wog Wog beetle collection, we assigned them to a feeding-guild according to other similar species 
      in the same genus that had already been assigned a feeding guild. Beetles were sampled along trasects using pitfall traps. 
      At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus cribriceps,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,microhabitat_activity,metapopulation,NA,NA,in_dead_wood_ground in_standing_wood_dead,NA,NA,NA,NA,"Beetles were sampled along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus vinsoni,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,body_length,metapopulation,median,mm,3.6,NA,NA,NA,NA,"Once collected the body lengths of a few beetles were measured for each taxon and the median used. 
      Beetles were sampled along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
Anotylus vinsoni,NA,AFD,species,Staphylinidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,"We categorised whether species were flightless or flight-capable by referring to 
      data used in previous work at the Wog Wog Fragmentation Experiment (Margules 1992; Davies et al. 2000) for the same 
      species in the same area. For species that we were not able to match to the Wog Wog beetle collection, we determined 
      whether they had functional wings according to other similar species in the same genus. Beetles were sampled
      along trasects using pitfall traps. At each sampling point, two pitfall traps, each consisting of a cup 90 mm 
      in diameter and 100 mm deep, a 600 mm x 50 mm high fence and a 200 mm x 200 mm roof, were placed 3 m a part in 
      a randomised direction. Pitfall traps containing pitfall fixative (94% ethanol, 5% glycol, 1% distilled water) 
      were left open for 1 week in February 2011. The two pitfall trap catches at each sampling point were pooled to 
      create one sample per sampling point. Beetles from each sample were sorted to species level. We used the Wog Wog 
      beetle reference collection stored at the Australian National Insect Collection at CSIRO Ecosystem Sciences in 
      Canberra, Australia, to help in the identification of some species. The CSIRO collection consists of morphospecies, 
      many of which are identified to species, each with a unique voucher code. We retained these codes in our data and 
      gave new codes to those morphospecies that we were not able to identify by reference to CSIRO Wog Wog collection. 
      Our resulting collection consists of species and morphospecies (all hereafter referred to as species). Our 
      experimental design consisted of three blocks of up to seven transects spanning the native Eucalyptus forest–pine 
      plantation edge. The edge between the Eucalyptus and pine forests is intersected by a dirt road of about 10 m in 
      width and (in one block) a cleared fire break of about 100 m in width. Sampling points were located along the 
      transects at 0 m (on the edge of the forest and road or firebreak), 10, 31.6, 100, 316 and 1000 m into the 
      Eucalyptus forest and 0, 10, 31.6, 100 and 316 m into the pine forest. We excluded sampling points in gullies and 
      ridge tops. As a result of this, many transects did not have the full complement of sampling points at all distances. 
      This left us with a total of 148 sampling points (84 in native Eucalyptus forest, 64 in pine forest) consisting of 
      296 pitfall traps arranged along 25 transects.","Wog Wog Habitat Fragmentation Experiment, Bondi State Forest and South East Forests National Park, NSW",-37.075000,149.466667,2011-02,"The area was formerly continuous native grassy to shrubby open Eucalyptus forest, 
                characterized by tussock grasses, forbs and scattered shrubs. A large area was cleared in 1987 and 
                planted with Pinus radiata for timber. At the time of data collection (2011), the pines were mature 
                trees of around 30 m height. At full maturity, the Pinus radiata forest is taller and more dense with 
                a more closed canopy than the native Eucalyptus forest. Its understory contains a dense layer of pine 
                needles with occasional shrubs, tussock grasses and sedges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Evans_2016,doi: 10.1007/s10980-016-0364-z,"Evans, M. J., Banks, S. C., Davies, K. F., Mcclenahan, J., Melbourne, B., & Driscoll, D. A. (2016). The use of traits to interpret responses to large scale-edge effects: a study of epigaeic beetle assemblages across a Eucalyptus forest and pine plantation edge. Landscape Ecology, 31, 1815-1831.",article,NA
