taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Aades cultratus,NA,AFD,species,Curculionidae,adult,NA,NA,NA,body_length,metapopulation,mean,mm,8,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Aades cultratus,NA,AFD,species,Curculionidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Aades cultratus,NA,AFD,species,Curculionidae,adult,NA,NA,NA,microhabitat_activity,metapopulation,NA,NA,vegetation,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Achthosus westwoodi,NA,AFD,species,Tenebrionidae,adult,NA,NA,NA,body_length,metapopulation,mean,mm,16,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Achthosus westwoodi,NA,AFD,species,Tenebrionidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Achthosus westwoodi,NA,AFD,species,Tenebrionidae,adult,NA,NA,NA,functional_role,metapopulation,NA,NA,detritivore,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Achthosus westwoodi,NA,AFD,species,Tenebrionidae,adult,NA,NA,NA,microhabitat_activity,metapopulation,NA,NA,in_dead_wood_ground in_standing_wood_dead,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Acrossidius tasmaniae,NA,AFD,species,Scarabaeidae,adult,NA,NA,NA,body_length,metapopulation,mean,mm,10,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Acrossidius tasmaniae,NA,AFD,species,Scarabaeidae,adult,NA,NA,NA,wing_development,metapopulation,NA,NA,winged,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
Acrossidius tasmaniae,NA,AFD,species,Scarabaeidae,adult,NA,NA,NA,microhabitat_activity,metapopulation,NA,NA,soil,NA,NA,NA,NA,NA,southeast Australian forests,NA,NA,2020/2021,"Southeast forests, and mountain tops in  montane and alpine areas",Sites were burned in 2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,Porch_2021,NA,"Porch, N. & Driscoll, D. A. (2021). Post 2019-2020 bushfire beetle surveys in southeast Australian forests. Unpublished dataset.",unpublished_data,NA
