flora_term,match_term,austraits_trait_value,trait_name,sort
locally abundant,locallyabundant,locally_abundant,commonness,10
rare,rare,rare,commonness,100
moist places in more open forest,moistplacesinmoreopenforest,forest_open,habitat,1
wet or dry sclerophyll forests,wetordrysclerophyllforests,forest_wet_sclerophyll forest_dry_sclerophyll,habitat,1
cool- and warm-temperate rainforest,cool-andwarm-temperaterainforest,rainforest_cool_temperate rainforest_warm_temperate,habitat,1
urban\\s[[:alpha:][:space:]]*parklands,urbanparklands,urban,habitat,1
Eucalyptus wandoo woodland,Eucalyptus_wandoo_woodland,woodland_eucalypt,habitat,3
near intermittent streams,nearintermittentstreams,creek_intermittent,habitat,5
moist eucalypt forest,moisteucalyptforest,forest_eucalypt_wet,habitat,5
wet eucalypt forest,weteucalyptforest,forest_eucalypt_wet,habitat,5
pools in winter,poolsinwinter,inundated_intermittent,habitat,5
stony lateritic plains,stonylateriticplains,plains_stony,habitat,5
warm temperate rainforest,warmtemperaterainforest,rainforest_warm_temperate,habitat,5
warm-temperate rainforest,warmtemperaterainforest,rainforest_warm_temperate,habitat,5
warm temperate and cool temperate rainforest,warmtemperateandcooltemperaterainforest,rainforest_cool_temperate rainforest_warm_temperate,habitat,5
cool temperate and warm temperate rainforest,cooltemperateandwarmtemperaterainforest,rainforest_cool_temperate rainforest_warm_temperate,habitat,5
margin of rainforests,marginofrainforests,rainforest_margins,habitat,5
margins of rainforest,marginsofrainforest,rainforest_margins,habitat,5
coastal to montane rainforests,coastaltomontanerainforests,rainforest_montane rainforest_coastal,habitat,5
subtropical and temperate rainforest,subtropicalandtemperaterainforest,rainforest_temperate rainforest_subtropical,habitat,5
tropical to temperate rainforest,tropicaltotemperaterainforest,rainforest_temperate rainforest_tropical,habitat,5
lowland tropical rainforest,lowlandtropicalrainforest,rainforest_tropical_lowland,habitat,5
cool temperate rainforest,cooltemperaterainforest,rainforest_cool_temperate,habitat,5
cool-temperate rainforest,cooltemperaterainforest,rainforest_cool_temperate,habitat,5
shallow rock pools,shallowrockpools,rock_pools_shallow,habitat,5
Eucalyptus salmonophloia woodland,Eucalyptussalmonophloiawoodland,woodland_eucalypt,habitat,5
subalpine Eucalyptus pauciflora woodland,subalpineEucalyptuspauciflorawoodland,woodlands_subalpine woodlands_eucalypt,habitat,5
montane to subalpine woodland,montanetosubalpinewoodland,woodlands_subalpine woodlands_montane,habitat,5
montane to subalpine woodland,montanetosubalpinewoodland,woodland_montane woodland_subalpine,habitat,5
fringe of rainforest,fringeofrainforest,rainforest_margins,habitat,8
coastal dunes,coastaldunes,dunes_coastal,habitat,10
dry sclerophyll,drysclerophyll,forest_dry_sclerophyll,habitat,10
Eucalyptus forest,Eucalyptusforest,forest_eucalypt,habitat,10
wet eucalypt forest,weteucalyptforest,forest_eucalypt_wet,habitat,10
moist eucalypt forest,moisteucalyptforest,forest_eucalypt_wet,habitat,10
subalpine forest,subalpineforest,forest_subalpine,habitat,10
wet sclerophyll,wetsclerophyll,forest_wet_sclerophyll,habitat,10
woodland heath,woodlandheath,heath woodland,habitat,10
lake margins,lakemargins,lake_margins,habitat,10
salt lakes,saltlakes,lakes_salt,habitat,10
