original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name_authorship,aligned_reason,update_reason,number_of_collapsed_taxa
Abelia,Abelia sp. [Abelia],NA,Abelia sp. [Abelia],Abelia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Acacia,Acacia sp. [Acacia],NA,Acacia sp. [Acacia],Acacia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Acacia acuminata,Acacia acuminata,Acacia acuminata,Acacia acuminata [alternative possible names: Acacia lasiocalyx (pro parte misapplied) | Acacia yorkrakinensis subsp. acrita (pro parte misapplied)],Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia acuminata subsp. burkittii,Acacia acuminata subsp. burkittii,Acacia burkittii,Acacia burkittii,Acacia,subspecies,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Acacia aneura,Acacia aneura,Acacia aneura,Acacia aneura [alternative possible names: Acacia minyura (pro parte misapplied) | Acacia paraneura (pro parte misapplied) | Acacia quadrimarginea (misapplied)],Acacia,species,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia aulacocarpa,Acacia aulacocarpa,Acacia aulacocarpa,Acacia aulacocarpa [alternative possible names: Acacia lamprocarpa (pro parte misapplied) | Acacia disparrima (misapplied) | Acacia lamprocarpa (misapplied)],Acacia,species,APC,accepted,A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia baileyana,Acacia baileyana,Acacia baileyana,Acacia baileyana,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia bidwillii,Acacia bidwillii,Vachellia bidwillii,Vachellia bidwillii,Vachellia,species,APC,accepted,(Benth.) Kodela,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Acacia binervata,Acacia binervata,Acacia binervata,Acacia binervata,Acacia,species,APC,accepted,DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia blakelyi,Acacia blakelyi,Acacia blakelyi,Acacia blakelyi,Acacia,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia calamifolia,Acacia calamifolia,Acacia calamifolia,Acacia calamifolia [alternative possible names: Acacia nematophylla (pro parte misapplied) | Acacia euthycarpa (misapplied)],Acacia,species,APC,accepted,Sweet ex Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia chalkeri,Acacia chalkeri,Acacia chalkeri,Acacia chalkeri,Acacia,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia cincinnata,Acacia cincinnata,Acacia cincinnata,Acacia cincinnata,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia concurrens,Acacia concurrens,Acacia concurrens,Acacia concurrens,Acacia,species,APC,accepted,Pedley,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia coolgardiensis,Acacia coolgardiensis,Acacia coolgardiensis,Acacia coolgardiensis,Acacia,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia cyclops,Acacia cyclops,Acacia cyclops,Acacia cyclops,Acacia,species,APC,accepted,A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia cyperophylla,Acacia cyperophylla,Acacia cyperophylla,Acacia cyperophylla [alternative possible names: Acacia curranii (pro parte taxonomic synonym) | Acacia gibbosa (pro parte misapplied) | Acacia sibina (misapplied)],Acacia,species,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia,species,APC,accepted,Link,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia deanei,Acacia deanei,Acacia deanei,Acacia deanei,Acacia,species,APC,accepted,"(R.T.Baker) M.B.Welch, Coombs & McGlynn",Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia decurrens,Acacia decurrens,Acacia decurrens,Acacia decurrens,Acacia,species,APC,accepted,Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia doratoxylon,Acacia doratoxylon,Acacia doratoxylon,Acacia doratoxylon [alternative possible names: Acacia lasiocalyx (pro parte misapplied)],Acacia,species,APC,accepted,A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia falcata,Acacia falcata,Acacia falcata,Acacia falcata,Acacia,species,APC,accepted,Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia filicifolia,Acacia filicifolia,Acacia filicifolia,Acacia filicifolia,Acacia,species,APC,accepted,Cheel & M.B.Welch,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia floribunda,Acacia floribunda,Acacia floribunda,Acacia floribunda,Acacia,species,APC,accepted,(Vent.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia grasbyi,Acacia grasbyi,Acacia grasbyi,Acacia grasbyi,Acacia,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia harpophylla,Acacia harpophylla,Acacia harpophylla,Acacia harpophylla,Acacia,species,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia holosericea,Acacia holosericea,Acacia holosericea,Acacia holosericea [alternative possible names: Acacia colei (pro parte misapplied) | Acacia colei (misapplied)],Acacia,species,APC,accepted,A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia implexa,Acacia implexa,Acacia implexa,Acacia implexa,Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia ingramii,Acacia ingramii,Acacia ingramii,Acacia ingramii,Acacia,species,APC,accepted,Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia irrorata,Acacia irrorata,Acacia irrorata,Acacia irrorata,Acacia,species,APC,accepted,Sieber ex Spreng.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia lasiocalyx,Acacia lasiocalyx,Acacia lasiocalyx,Acacia lasiocalyx,Acacia,species,APC,accepted,C.R.P.Andrews,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia leiocalyx,Acacia leiocalyx,Acacia leiocalyx,Acacia leiocalyx,Acacia,species,APC,accepted,(Domin) Pedley,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia leptostachya,Acacia leptostachya,Acacia leptostachya,Acacia leptostachya,Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia ligulata,Acacia ligulata,Acacia ligulata,Acacia ligulata [alternative possible names: Acacia cupularis (pro parte misapplied)],Acacia,species,APC,accepted,A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia linifolia,Acacia linifolia,Acacia linifolia,Acacia linifolia [alternative possible names: Acacia fimbriata (pro parte misapplied) | Acacia gittinsii (pro parte misapplied)],Acacia,species,APC,accepted,(Vent.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia longifolia,Acacia longifolia,Acacia longifolia,Acacia longifolia,Acacia,species,APC,accepted,(Andrews) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia mangium,Acacia mangium,Acacia mangium,Acacia mangium,Acacia,species,APC,accepted,Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia mearnsii,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii,Acacia,species,APC,accepted,De Wild.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia mollissima,Acacia mollissima,Acacia dealbata,Acacia dealbata,Acacia,species,APC,accepted,Link,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Acacia montana,Acacia montana,Acacia montana,Acacia montana,Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia mucronata,Acacia mucronata,Acacia mucronata,Acacia mucronata,Acacia,species,APC,accepted,Willd. ex H.L.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,Acacia,species,APC,accepted,(Sm.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia obliquinerva,Acacia obliquinervia,Acacia obliquinervia,Acacia obliquinervia,Acacia,species,APC,accepted,Tindale,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia obtusifolia,Acacia obtusifolia,Acacia obtusifolia,Acacia obtusifolia,Acacia,species,APC,accepted,A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia oldfieldii,Acacia oldfieldii,Acacia oldfieldii,Acacia oldfieldii,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia papyrocarpa,Acacia papyrocarpa,Acacia papyrocarpa,Acacia papyrocarpa [alternative possible names: Acacia sp. Blyth Range (W.V.Fitzgerald s.n. 1898) (pro parte misapplied)],Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia paradoxa,Acacia paradoxa,Acacia paradoxa,Acacia paradoxa,Acacia,species,APC,accepted,DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia parramattensis,Acacia parramattensis,Acacia parramattensis,Acacia parramattensis,Acacia,species,APC,accepted,Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
