ID,Friendly_name,Max_OCL,Ref_OCL,Max_CL,Ref_max_CL,Max_BL,Ref_BL,Egg_size,Ref_EggS,MaxEggNumber,Ref_egg_number,Lifespan,Ref_Lifespan,Age_at_maturity,Ref_Age,Size_maturity_females,Size_Mat_Type,Ref_Size_mat,Min_size_form_I_males,Type_size_form_I,Ref_form_I_males,Notes,tax_id
1,Astacoides betsileoensis,,,85.3,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",160,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",3.8,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,,5,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,64.9,CL,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,oval eggs 2.9*3.8,2188
2,Astacoides caldwelli,,,79.1,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",150,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,,,,,,,,,,,,,2187
3,Astacoides crosnieri,,,53.6,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",103,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",3.8,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",21,"Lukhaup, C. (2003). Süßwasserkrebse aus aller Welt. Dähne Verlag.",,,,,,,,,,,oval eggs 3.8*2.6,2184
4,Astacoides granulimanus,,,64.9,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",124,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",3.6,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",400,Jones & Coulson 2006,20,"Luckett, K. (2009). Crayfish and climate change. Thesis.",6,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,45.6,CL,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,oval eggs 3.6*2.9,2186
5,Astacoides hobbsi,,,55.8,"Boyko, C. B., Ravoahangimalala, O. R., Randriamasimanana, D. É. S. I. R. É., & Razafindrazaka, T. H. (2005). Astacoides hobbsi, a new crayfish (Crustacea: Decapoda: Parastacidae) from Madagascar. Zootaxa, 1091(1), 41-51.",107,"Boyko, C. B., Ravoahangimalala, O. R., Randriamasimanana, D. É. S. I. R. É., & Razafindrazaka, T. H. (2005). Astacoides hobbsi, a new crayfish (Crustacea: Decapoda: Parastacidae) from Madagascar. Zootaxa, 1091(1), 41-51.",,,,,,,,,,,,,,,,153654
6,Astacoides madagascariensis,,,87.1,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",156,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",4.3,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,,,,45.3,CL,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,oval eggs 3.0*4.0-4.6,2183
7,Astacoides petiti,,,54,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",104,"Hobbs, H. H. Jr. (1987). A review of the crayfish genus Astacoides (Decapoda: Parastacidae). Smithsonian Contributions to Zoology, 443, 1-50.",,,,,,,,,,,,,,,,2185
8,Astacopsis franklinii,,,61,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",,,3.55,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",118,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",15,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",5,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",39,CL,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",30,CL,"Hamr, P. (2007). The life history of the crayfish Astacopsis franklinii (Parastacidae) in streams on Mount Wellington, Tasmania. Freshwater Crayfish, 16, 155-164.",,153687
9,Astacopsis gouldi,,,,,400,http://www.arkive.org/giant-freshwater-crayfish/astacopsis-gouldi/,4.5,"Hamr, P. (1997). A giant’s tale: the life history of Astacopsis gouldi (Decapoda: Parastacidae) a freshwater crayfish from Tasmania. Freshwater Crayfish, 11, 13-33.",1500,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,30,"Hamr, P. (1997). A giant’s tale: the life history of Astacopsis gouldi (Decapoda: Parastacidae) a freshwater crayfish from Tasmania. Freshwater Crayfish, 11, 13-33.",14,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,90,CL,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,76,CL,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,,2190
10,Astacopsis tricornis,,,37,IUCN. (2011). IUCN Red List of threatened species. Available at: http://www.iucnredlist.org/,148,"Hamr, P. (1990). Comparative reproductive biology of the Tasmanian freshwater crayfishes Astacopsis gouldi Clark, Astacopsis franklinii, Gray and Parastacoides tasmanicus Clark (Decapoda: parastacidae) (Doctoral dissertation, University of Tasmania).",,,,,,,,,,,,,,,,153640
